콘텐츠 아이디2 (CID),제목,1단계 분류코드,2단계 분류코드,캐치프레이즈,지역 (시_도),지역 (시_군_구),cluster
126778,대진1리해변,A01,A0101,"희고 고운 모래와 깨끗한 수질, 수심이 낮은 조용한 해변",강원특별자치도,고성군,1
125683,마차진해변,A01,A0101,"희고 고운 모래사장과 성게, 소라를 잡을 수 있는 해수욕장",강원특별자치도,고성군,2
125811,흥양3기,A01,A0102,"흥양이 자랑하는 돌 세 개, 흥양3기",강원특별자치도,원주시,1
789897,도사곡휴양림,A01,A0101,훼손되지 않은 아름다운 자연 속에서 휴식하는 공간,강원특별자치도,정선군,1
125723,방동약수,A01,A0101,효험이 있는 신비의 물,강원특별자치도,인제군,1
1899635,홍천 은행나무숲,A01,A0101,황금빛 물결의 비밀의 화원,강원특별자치도,홍천군,1
126666,천곡황금박쥐동굴,A01,A0101,황금박쥐가 살고있는 동굴,강원특별자치도,동해시,1
2616554,해안분지 (강원평화지역 국가지질공원),A01,A0101,화채를 담는 그릇을 닮은 분지,강원특별자치도,양구군,1
128660,화암약수 (강원고생대 국가지질공원),A01,A0101,화암팔경 중 하나로 톡 쏘는 맛이 나는 탄산수,강원특별자치도,정선군,1
125652,삼부연폭포 (한탄강 유네스코 세계지질공원),A01,A0101,화강암 지대를 따라 쏟아져 내리는 철원의 비경,강원특별자치도,철원군,1
2613261,미약골,A01,A0101,홍천강의 발원지,강원특별자치도,홍천군,1
2704932,인구해수욕장,A01,A0101,홍대 부럽지않은 양양의 핫플레이스,강원특별자치도,양양군,1
127730,신남해변,A01,A0101,호젓하게 휴식 할 수 있는 작고 아담한 해변,강원특별자치도,삼척시,2
2702543,사내골소나무,A01,A0102,형태가 삿갓형인 소나무,강원특별자치도,태백시,1
127570,송지호 해안 서낭바위 (강원평화지역 국가지질공원),A01,A0101,허리띠를 두른 기이한 바위해안,강원특별자치도,고성군,1
129598,외옹치항,A01,A0101,향토적이고 어촌의 정취가 물씬 풍기는 곳,강원특별자치도,속초시,1
2514792,하늬라벤더팜,A01,A0101,"향기가 머무는 곳, 하늬 라벤더 팜",강원특별자치도,고성군,1
126788,문암2리해변,A01,A0101,해안선을 따라 양호하게 발달한 기암괴석이 절경을 이루는 곳,강원특별자치도,고성군,1
2775497,순포해변,A01,A0101,해수욕하며 즐겨보는 경치,강원특별자치도,강릉시,1
125654,순담계곡,A01,A0101,한탄강 물줄기 중 가장 아름다운 계곡,강원특별자치도,철원군,1
2715936,궁촌항,A01,A0101,한적해서 더 매력있는 항구,강원특별자치도,삼척시,1
2714642,고불개해변,A01,A0101,한적한 어촌마을의 정취와 향긋한 바다내음이 있는 해변,강원특별자치도,동해시,1
585526,사천진해변(사천뒷불해수욕장),A01,A0101,한적하게 여유를 즐길 수 있는 해변,강원특별자치도,강릉시,2
125806,설악 흔들바위,A01,A0102,한번씩 흔들어 보고 가는 설악산의 명물,강원특별자치도,속초시,1
125627,내린천 포트홀 (강원평화지역 국가지질공원),A01,A0101,한반도의 비밀을 품고 있는 굽이진 물길의 조각품,강원특별자치도,인제군,1
572984,점봉산 곰배령,A01,A0101,한반도의 대표적인 원시림을 볼 수 있는 곳,강원특별자치도,인제군,2
800067,국토정중앙천문대,A01,A0101,한반도 정중앙에 위치한 천문대,강원특별자치도,양구군,1
125670,삼척 미인폭포,A01,A0101,한국판 그랜드 캐니언이라 불리는 삼척 미인폭포,강원특별자치도,삼척시,1
2637753,평창 육백마지기,A01,A0101,"한국의 알프스, 평창 육백마지기",강원특별자치도,평창군,1
125610,팔봉산(홍천),A01,A0101,한국의 100대 명산으로 나지막한 산으로 여덟 개의 봉우리로 이루어진 산,강원특별자치도,홍천군,1
561105,양구생태식물원,A01,A0101,한국의  희귀식물을 만나볼 수 있는 식물원,강원특별자치도,양구군,2
337517,국립횡성숲체원,A01,A0101,한국산림복지진흥원에서 운영하는 국가 제1호 산림교육센터,강원특별자치도,횡성군,1
125607,미륵산,A01,A0101,한 폭의 동양화를 연상케 하는 산,강원특별자치도,원주시,1
125659,어라연 (강원고생대 국가지질공원),A01,A0101,하천지형이 다양하게 나타나는 천혜의 보고,강원특별자치도,영월군,1
125617,제왕산/능경봉,A01,A0101,하얗게 쌓인 눈이 절경을 이루는 산,강원특별자치도,강릉시,1
585542,하평해변(강릉),A01,A0101,하얀 모래밭과 해송이 넓게 펼쳐져 있는 해변,강원특별자치도,강릉시,1
125635,광대곡,A01,A0101,하늘과 구름과 땅이 맞붙은 신비의 계곡,강원특별자치도,정선군,1
2616773,백운계곡,A01,A0101,피서하러 가기 좋은 계곡,강원특별자치도,원주시,1
125707,속초해수욕장,A01,A0101,피서객들의 사랑을 한몸에 받는 속초해수욕장,강원특별자치도,속초시,1
987582,속초항,A01,A0101,풍부한 수산자원이 부존되어 있는 어항,강원특별자치도,속초시,1
2724982,화진포해수욕장,A01,A0101,푸른 소나무숲과 기암괴석 자연풍광이 수려한 곳,강원특별자치도,고성군,1
1870612,임해자연휴양림,A01,A0101,푸른 바다와 산의 정취를 함께 느낄 수 있는 숲 속 휴양림,강원특별자치도,강릉시,2
2610236,이사부길(새천년해안도로),A01,A0101,푸른 바다를 온몸으로 맞으며 달릴 수 있는 도로,강원특별자치도,삼척시,2
2727741,안인항,A01,A0101,푸른 강릉의 바다가 아름다운 안인항,강원특별자치도,강릉시,1
126887,선돌 (강원고생대 국가지질공원),A01,A0102,푸른 강과 층암절벽이 절경을 이루는 곳,강원특별자치도,영월군,1
125703,설악해변,A01,A0101,파란색과 보라색이 섞인듯한 아름다운 물색,강원특별자치도,양양군,1
125686,천진해변,A01,A0101,파도가 잔잔하고 수심이 얕은 청정 해변,강원특별자치도,고성군,1
125688,한재밑해변,A01,A0101,파도 소리 들으며 조용하게 휴식하기 좋은 해변,강원특별자치도,삼척시,1
125668,오색주전골,A01,A0101,투명한 계곡물과 화려한 단풍을 즐기는 설악의 아름다움,강원특별자치도,양양군,1
128965,장호항,A01,A0101,투명하고 찬란한 바다,강원특별자치도,삼척시,1
2774729,비화항,A01,A0101,테트라포드형 방파제에서 즐기는 돔 낚시 명소,강원특별자치도,삼척시,1
617327,태백 구와우마을(고원자생식물원),A01,A0101,태양을 닮은 꽃 해바라기가 활짝 핀 마을,강원특별자치도,태백시,1
1809589,금대봉야생화 군락지,A01,A0101,태백시가 자랑하는 식물의 보고,강원특별자치도,태백시,1
2911420,운탄고도 1330 1~3길,A01,A0101,탄광 역사를 만나는 친환경 트래킹,강원특별자치도,영월군,1
125691,남항진해변(남항진해수욕장),A01,A0101,크고 작은 바위와 어우러진 맑은 바다가 아름다운 해변,강원특별자치도,강릉시,1
129676,금대계곡,A01,A0101,치악산국립공원에 있는 계곡,강원특별자치도,원주시,1
129260,부곡계곡,A01,A0101,치악산 부곡지구 기이한 암석들이 가득 들어찬 멋진 계곡,강원특별자치도,횡성군,1
2613313,치악산 금강송,A01,A0102,치악산 구룡사 입구에 있는 소나무,강원특별자치도,원주시,1
127727,증산해변(증산 해수욕장),A01,A0101,추암 촛대바위와 접경지로 촛대바위를 한눈에 감상할 수 있는 해변,강원특별자치도,삼척시,2
128750,자작도해변,A01,A0101,"초승달 모양의 해안선, 햇빛에 부서지는 반짝이는 모래의 향연",강원특별자치도,고성군,1
127825,고고산,A01,A0101,초록빛 가득한 울창한 숲이 있는 곳,강원특별자치도,영월군,1
125413,국립 가리왕산자연휴양림,A01,A0101,청정한 자연을 품은 휴식공간,강원특별자치도,정선군,1
129588,묵호항,A01,A0101,청정 동해바다에서 잡은 신선한 수산물을 저렴한 가격에 맛볼 수 있는<br />활선어 판매센터가 유명한 묵호항,강원특별자치도,동해시,2
1830997,불바라기약수터,A01,A0101,"청룡, 황룡폭포 두 폭포가 있는 아름답고 인적이 드문 청정지역",강원특별자치도,양양군,1
2785713,송대소주상절리 (한탄강 유네스코 세계지질공원),A01,A0101,철원의 한탄강명소,강원특별자치도,철원군,1
2704788,소이산,A01,A0101,철원 역사의 중심,강원특별자치도,철원군,1
127897,수입천(하천),A01,A0101,천혜의 자연이 꽃피는 곳,강원특별자치도,양구군,1
2549265,양지리마을,A01,A0101,천혜의 자연을 품고있는 철새마을,강원특별자치도,철원군,1
129682,원성 성남리 성황림,A01,A0102,천혜의 자연을 지키는 神이 잠들어 있는 곳,강원특별자치도,원주시,1
2549201,백룡동굴,A01,A0101,천혜의 비경과 절경으로 알려진 평창 백룡동굴,강원특별자치도,평창군,1
126639,삼척초당굴,A01,A0101,"천연기념물 제226호, 삼척의 석회암 동굴",강원특별자치도,삼척시,1
125726,인제 미산리 개인약수,A01,A0101,천연기념물,강원특별자치도,인제군,1
125628,하추리계곡,A01,A0101,천연 보호림과 기암괴석 사이로 흘러드는 맑은 계곡 물,강원특별자치도,인제군,1
2822727,발왕수 가든,A01,A0101,천연 미네랄 암반수가 있는 곳,강원특별자치도,평창군,1
2774730,삼척자연생태공원,A01,A0101,천년학 힐링타운으로도 불리우는 가족나들이 하기 좋은 곳,강원특별자치도,삼척시,1
2364047,천곡천연동굴 자연학습체험공원,A01,A0101,천곡천연동굴과는 또다른 매력의 체험의 장소,강원특별자치도,동해시,1
2715231,척야산 문화수목원,A01,A0101,척야산 일대에 조성되어 있는 수목원,강원특별자치도,홍천군,1
645823,춘천숲자연휴양림,A01,A0101,"참나무, 잣나무 숲속에서 즐기는 최적의 힐링 자연환경",강원특별자치도,춘천시,1
125665,숙암계곡,A01,A0101,차갑고 깨끗한 생수가 쏟아지는 절경,강원특별자치도,정선군,1
779594,한반도지형 (강원고생대 국가지질공원),A01,A0101,지형을 감싸고 흐르는 감입 곡류 하천의 침식작용에 의해 생겨난<br />한반도를 빼닮아 이름 붙여진 한반도지형,강원특별자치도,영월군,1
2615225,고석정 (한탄강 유네스코 세계지질공원),A01,A0101,지질·지형 학습장으로 높은 가치를 지니고 있는 고석정 일대,강원특별자치도,철원군,1
2616104,요선암 돌개구멍 (강원고생대 국가지질공원),A01,A0101,주천강 화강암반 위에 형성된 지형,강원특별자치도,영월군,1
125714,거진1리해변,A01,A0101,주변의 기암괴석이 절경을 이루고 있는 해변,강원특별자치도,고성군,1
2714611,갯마을해변,A01,A0101,조용한 해수욕장을 찾는 사람들에게 인기 있는 곳,강원특별자치도,양양군,1
